ID,COUNTRY,TITLE,LOGO,STREAMURL,DESC,STATUS,GENRES
1,KU,Waar Radio,https://live-tv-channels.org/pt-data/uploads/logo/iq-waar-tv-5556-300x225.jpg,https://c2.radioboss.fm:18564/stream,Waar Radio,1,Kurdi
2,KU,Rudaw News Radio,https://raw.githubusercontent.com/lo483/RADIO_LOGO/master/kurdi/rudaw.png,http://audiostreaming.itworkscdn.com:9006/;*.nsv,Rudaw News Radio,1,Kurdi
3,KU,Rudaw Tv,https://raw.githubusercontent.com/lo483/RADIO_LOGO/master/kurdi/rudaw.png,https://svs.itworkscdn.net/rudawlive/rudawtv_audio/chunks.m3u8,Rudaw Tv,1,Tv Audio
4,KU,Kurdistan 24 Tv Audio,https://raw.githubusercontent.com/lo483/RADIO_LOGO/master/kurdi/k24.png,https://d1x82nydcxndze.cloudfront.net/live/index.m3u8,Kurdistan 24 Tv Audio,1,Kurdi
5,KU,Kurdistan 24 Radio,https://raw.githubusercontent.com/lo483/RADIO_LOGO/master/kurdi/k24.png,https://streams.radiomast.io/04b1ce4c-24f2-4172-b756-065832ef78bf,Kurdistan 24 Radio,1,Kurdi
6,KU,DAWAT RADIO,https://tools.zenoradio.com/content/stations/agxzfnplbm8tc3RhdHNyMgsSCkF1dGhDbGllbnQYgIDgxbLu1wkMCxIOU3RhdGlvblByb2ZpbGUYgIDgzaz70wgMogEEemVubw/image/?resize=380x380,http://stream.zeno.fm/5u7ntxrr7mzuv,DAWAT RADIO,1,Artist
7,KU,Dawet FM,https://images.zeno.fm/a7kQbqtTM9AXPunZtOksgve5d804ptG0clD7VY1hAVQ/rs:fit:240:240/g:ce:0:0/aHR0cHM6Ly9wcm94eS56ZW5vLmZtL2NvbnRlbnQvc3RhdGlvbnMvYWd4emZucGxibTh0YzNSaGRITnlNZ3NTQ2tGMWRHaERiR2xsYm5RWWdJQ3duTm5CalFvTUN4SU9VM1JoZEdsdmJsQnliMlpwYkdVWWdJQ3c3STJ1b3drTW9nRUVlbVZ1YncvaW1hZ2UvP3Jlc2l6ZT0yNDB4MjQwJnVwZGF0ZWQ9MTY1NzEzNzUyMjAwMA.webp,http://stream.zeno.fm/vg1qmu7d0s8uv,Dawet FM,1,Artist
8,KU,Kurd fm,http://kurdfm.com/images/logo-picuk.jpg,http://radio.kurdfm.com:4747/;,Kurd fm,1,Kurdi
9,KU,KURDmix - Your Hit Station,https://cdn-profiles.tunein.com/s183817/images/logog.png,http://217.20.116.68:32000/,KURDmix - Your Hit Station,1,Kurdi
10,KU,Rebaz FM,https://raw.githubusercontent.com/lo483/RADIO_LOGO/master/kurdi/rebazfm.jpg,http://rasti.out.airtime.pro:8000/rasti_a,Rebaz FM,1,Kurdi
11,KU,Denge Zelal radyo,https://i.ibb.co/dKjQDSw/photostudio-1594559338135.jpg,https://ssl120.radyotelekom.com.tr/8546/stream,Denge Zelal radyo,1,Kurdi
12,KU,Denge Cudi,https://raw.githubusercontent.com/lo483/RADIO_LOGO/master/kurdi/Denge-Cudi.jpg,https://denge-cudi.stream.laut.fm/denge-cudi,Denge Cudi,1,Kurdi
13,KU,Mezopotamya Radyo,https://images.keepone.net/5023-2019-07-03.jpg,http://yayin.liderhost.net:9404/stream,Mezopotamya Radyo,1,Kurdi
14,KU,Dengi Kurdsat,https://raw.githubusercontent.com/lo483/RADIO_LOGO/master/kurdi/kurdsat.png,http://uk3.internet-radio.com:8011/stream,Dengi Kurdsat,1,Kurdi
15,KU,Radio ONE FM - Classic,http://live.radio-onefm.com/assets/img/media/oneclassic.png,http://stream.zeno.fm/95tew83uzrquv,Radio ONE FM - Classic,1,Kurdi
16,KU,Voa Radio,https://raw.githubusercontent.com/lo483/RADIO_LOGO/master/kurdi/VOK%20Radio.jpg,http://voa-36.akacast.akamaistream.net/7/421/322048/v1/ibb.akacast.akamaistream.net/voa-36.m3u,Voa Radio,1,Kurdi
17,KU,Ankawa Radio,https://babylonfm.net/wp-content/uploads/2018/02/466393_426747707354868_436621014_o-170x170.jpg,https://eu7.fastcast4u.com/proxy/radioankawa,Ankawa Radio,1,Kurdi
18,KU,TRT Kurdi,https://www.canliradyodinle.fm/wp-content/uploads/trt-kurdi-radyo-dinle.jpg,https://tv-trtkurdi.medya.trt.com.tr/master_360.m3u8,TRT Kurdi,1,Kurdi
19,KU,Kurdistan tv,https://www.kurdistantv.net/sites/default/files/ktv-logo-hd-01.png,http://84.244.187.150:1935/live/smil:myStream.smil/chunklist.m3u8,Kurdistan tv,1,Kurdi
20,KU,Cizre Botan Fm,http://app.berdan.net/ku/upload/9544-2016-12-06.png,http://sunucu.radyodinle.com:9914,Cizre Botan Fm,1,Kurdi
21,KU,Amed Fm,https://raw.githubusercontent.com/lo483/RADIO_LOGO/master/kurdi/amed%20fm.png,http://radyo.amedradyotv.net:8000/listen.mp3,Amed Fm,1,Kurdi
22,KU,Hakkari Fm,https://raw.githubusercontent.com/lo483/RADIO_LOGO/master/kurdi/hakarifm.png,https://radyo.slmbilisim.net/8004/stream;,Hakkari Fm,1,Kurdi
23,KU,Radio Firat 87.3,https://raw.githubusercontent.com/lo483/RADIO_LOGO/master/kurdi/firat.png,http://yayin.firatfm.com:3065/;,Radio Firat 87.3,1,Kurdi
24,KU,Can Radyo,https://raw.githubusercontent.com/lo483/RADIO_LOGO/master/kurdi/can-radyo.png,http://yayin1.yayindakiler.com:2028/;stream.mp3,Can Radyo,1,Kurdi
25,KU,Radyo Munzur Dersim,https://raw.githubusercontent.com/lo483/RADIO_LOGO/master/kurdi/dersim%20munzur.png,http://yayin1.yayindakiler.com:3002/;audio.mp3,Radyo Munzur Dersim,1,Kurdi
26,KU,Med Radyo,http://app.berdan.net/ku/upload/5334-2016-12-01.jpg,http://95.173.161.131:9774/,Med Radyo,1,Kurdi
27,KU,Denge Qamishlo,http://app.berdan.net/ku/upload/7111-2016-05-01.png,http://stream.laut.fm/dengeqamishlo,Denge Qamishlo,1,Kurdi
28,KU,Dogan 21-Fm,https://raw.githubusercontent.com/lo483/RADIO_LOGO/master/kurdi/doghan21.png,http://yayin1.yayindakiler.com:3024/;,Dogan 21-Fm,1,Kurdi
29,KU,Radyo Ekin,https://raw.githubusercontent.com/lo483/RADIO_LOGO/master/kurdi/radioekin.png,http://radyo.turkuradyo.net:4591/;stream.mp3,Radyo Ekin,1,Kurdi
30,KU,Cemre Fm Mardin,https://raw.githubusercontent.com/lo483/RADIO_LOGO/master/kurdi/cemrefm.png,http://yayin1.canliyayin.org:8024/;stream.mp3,Cemre Fm Mardin,1,Kurdi
31,KU,Batman Süper FM,http://app.berdan.net/ku/upload/4049-2017-12-23.jpg,http://yayin2.yayindakiler.com:4090/;,Batman Süper FM,1,Kurdi
32,KU,Radio Ashur,https://babylonfm.net/wp-content/uploads/2018/02/ashur-logo-170x170.png,https://eu7.fastcast4u.com/proxy/radioashur,Radio Ashur,1,Kurdi
33,KU,Radyo 47,http://app.berdan.net/ku/upload/6482-2016-12-02.png,http://radyolar.yayindinle.net:7755/,Radyo 47,1,Kurdi
34,KU,Radyo Zergan,https://raw.githubusercontent.com/lo483/RADIO_LOGO/master/kurdi/zergan.jpg,http://yayin1.yayindakiler.com:3194/,Radyo Zergan,1,Kurdi
35,KU,Radyo Özgür,http://app.berdan.net/ku/upload/6739-2016-12-17.png,http://95.173.188.170:9898,Radyo Özgür,1,Kurdi
36,KU,Radyo Barış - Dersim,http://app.berdan.net/ku/upload/4892-2016-09-22.png,http://yayin2.canliyayin.org:9350/;,Radyo Barış - Dersim,1,Kurdi
37,KU,Radio Kewra,https://raw.githubusercontent.com/lo483/RADIO_LOGO/master/kurdi/kewra.png,http://198.7.59.28:8146/;,Radio Kewra,1,Kurdi
38,KU,Radio 13,http://app.berdan.net/ku/upload/8414-2017-02-08.jpg,http://yayin1.yayindakiler.com:3050/,Radio 13,1,Kurdi
39,KU,Radyo Piryolu,https://d2iw5las1rjvep.cloudfront.net/rfm/stimg/uploads/blogo/300/300_radyo-piryolu.png,http://radyopiryolu.canliyayinda.com:8165,Radyo Piryolu,1,Kurdi
40,KU,Arta.Fm,https://raw.githubusercontent.com/lo483/RADIO_LOGO/master/kurdi/arta.png,http://edge.mixlr.com/channel/qtgru,Arta.Fm,1,Kurdi
